# phase elapsed_s device_used_mib chronon3d_cli_used_mib gpu_util_pct
resident_hold 18.25 728 630 0
resident_hold 18.35 728 630 0
resident_hold 18.43 728 630 0
resident_hold 18.51 728 630 0
resident_hold 18.60 728 630 0
resident_hold 18.68 728 630 0
resident_hold 18.80 728 630 0
resident_hold 18.88 728 630 0
resident_hold 18.97 728 630 0
resident_hold 19.06 728 630 0
resident_hold 19.15 728 630 0
resident_hold 19.24 728 630 0
resident_hold 19.32 728 630 0
resident_hold 19.40 728 630 0
resident_hold 19.48 728 630 0
resident_hold 19.57 728 630 0
resident_hold 19.64 728 630 0
resident_hold 19.75 728 630 0
resident_hold 19.83 728 630 0
resident_hold 19.92 728 630 0
resident_hold 20.01 728 630 0
resident_hold 20.11 728 630 0
resident_hold 20.19 728 630 0
resident_hold 20.27 728 630 0
resident_hold 20.35 728 630 0
resident_hold 20.44 728 630 0
resident_hold 20.53 728 630 0
resident_hold 20.62 728 630 0
resident_hold 20.70 728 630 0
resident_hold 20.78 728 630 0
resident_hold 20.87 728 630 0
resident_hold 20.96 728 630 0
resident_hold 21.04 728 630 0
resident_hold 21.12 728 630 0
resident_hold 21.19 728 630 0
resident_hold 21.28 728 630 0
resident_hold 21.38 728 630 0
resident_hold 21.48 728 630 0
resident_hold 21.57 728 630 0
resident_hold 21.67 728 630 0
resident_hold 21.74 728 625 0
resident_hold 21.88 700 428 3
resident_hold 22.03 503 425 3
resident_hold 22.13 476 218 3
after_shutdown 22.28 270 218 3
after_shutdown 22.46 270 218 6
after_shutdown 22.69 270 218 6
after_shutdown 22.84 270 218 0
after_shutdown 23.08 270 218 0
after_shutdown 23.28 270 218 0
after_shutdown 23.51 270 218 0
after_shutdown 23.67 270 218 0
after_shutdown 23.85 270 218 0
after_shutdown 24.05 270 218 0
after_shutdown 24.35 270 218 0
after_shutdown 24.54 270 218 0
after_shutdown 24.71 270 218 0
after_shutdown 24.85 270 218 0
after_shutdown 25.01 270 218 0
after_shutdown 25.18 270 218 0
after_shutdown 25.32 270 218 0
