# phase elapsed_s device_used_mib chronon3d_cli_used_mib gpu_util_pct
resident_hold 16.89 768 672 0
resident_hold 16.96 768 672 0
resident_hold 17.03 768 672 0
resident_hold 17.11 768 672 0
resident_hold 17.19 768 672 0
resident_hold 17.28 768 672 0
resident_hold 17.36 768 672 0
resident_hold 17.44 768 672 0
resident_hold 17.53 768 672 0
resident_hold 17.60 768 672 0
resident_hold 17.68 768 672 0
resident_hold 17.77 768 672 0
resident_hold 17.84 768 672 0
resident_hold 17.91 768 672 0
resident_hold 17.99 768 672 0
resident_hold 18.07 768 672 0
resident_hold 18.15 768 672 0
resident_hold 18.23 768 672 0
resident_hold 18.31 768 672 0
resident_hold 18.39 768 672 0
resident_hold 18.46 768 672 0
resident_hold 18.53 768 672 0
resident_hold 18.60 768 672 0
resident_hold 18.67 768 672 0
resident_hold 18.75 768 672 0
resident_hold 18.83 768 672 0
resident_hold 18.91 768 672 0
resident_hold 19.00 768 672 0
resident_hold 19.08 768 672 0
resident_hold 19.17 768 672 0
resident_hold 19.25 768 672 0
resident_hold 19.32 768 672 0
resident_hold 19.40 768 672 0
resident_hold 19.48 768 672 0
resident_hold 19.56 768 672 0
resident_hold 19.65 768 672 0
resident_hold 19.72 768 672 0
resident_hold 19.81 768 669 0
resident_hold 19.91 738 452 0
resident_hold 20.04 525 452 0
resident_hold 20.12 525 449 0
resident_hold 20.22 495 232 0
after_shutdown 20.34 282 232 1
after_shutdown 20.42 282 232 1
after_shutdown 20.50 282 232 1
after_shutdown 20.57 282 232 1
after_shutdown 20.67 282 232 1
after_shutdown 20.75 282 232 1
after_shutdown 20.83 282 232 0
after_shutdown 20.93 282 232 0
after_shutdown 21.01 282 232 0
after_shutdown 21.09 282 232 0
after_shutdown 21.17 282 232 0
after_shutdown 21.24 282 232 0
after_shutdown 21.32 282 232 0
after_shutdown 21.40 282 232 0
after_shutdown 21.48 282 232 0
after_shutdown 21.56 282 232 0
after_shutdown 21.65 282 232 0
after_shutdown 21.72 282 232 0
after_shutdown 21.82 282 232 0
after_shutdown 21.91 282 232 0
after_shutdown 21.98 282 232 0
after_shutdown 22.06 282 232 0
after_shutdown 22.14 282 232 0
after_shutdown 22.22 282 232 0
after_shutdown 22.30 282 232 0
after_shutdown 22.38 282 232 0
after_shutdown 22.47 282 232 0
after_shutdown 22.56 282 232 0
after_shutdown 22.65 282 232 0
after_shutdown 22.72 282 232 0
after_shutdown 22.82 282 232 0
after_shutdown 22.91 282 232 0
after_shutdown 23.00 282 232 0
after_shutdown 23.08 282 232 0
after_shutdown 23.17 282 232 0
after_shutdown 23.26 282 232 0
after_shutdown 23.35 282 232 0
