# phase elapsed_s device_used_mib chronon3d_cli_used_mib gpu_util_pct
idle 0.09 270 218 0
idle 0.14 270 218 0
idle 0.25 270 218 0
idle 0.39 270 218 0
idle 0.55 279 218 0
idle 0.65 282 218 0
idle 0.77 282 218 0
idle 0.88 270 218 0
idle 0.97 270 218 0
idle 1.10 282 218 0
idle 1.26 282 222 0
idle 1.41 304 226 1
idle 1.51 296 226 1
idle 1.61 296 226 1
idle 1.71 305 226 1
idle 1.81 308 226 1
idle 1.98 296 226 0
idle 2.15 296 226 0
idle 2.26 308 226 0
idle 2.35 308 226 0
idle 2.45 320 234 0
idle 2.54 322 234 0
warm_pools 2.62 322 234 0
warm_pools 2.69 322 234 0
warm_pools 2.76 322 234 0
warm_pools 2.83 322 234 0
warm_pools 2.90 322 234 0
warm_pools 2.97 322 234 0
warm_pools 3.04 322 234 0
warm_pools 3.13 322 234 0
warm_pools 3.20 322 234 0
warm_pools 3.28 322 234 0
warm_pools 3.35 322 234 0
warm_pools 3.42 322 234 0
warm_pools 3.51 322 234 0
warm_pools 3.60 322 234 0
warm_pools 3.68 322 234 0
warm_pools 3.77 322 234 0
warm_pools 3.85 322 234 0
warm_pools 3.92 322 234 0
warm_pools 4.00 322 234 0
warm_pools 4.08 322 234 0
warm_pools 4.16 322 234 0
warm_pools 4.25 322 234 0
warm_pools 4.33 322 234 0
warm_pools 4.40 322 234 0
warm_pools 4.48 322 234 0
warm_pools 4.56 322 234 0
warm_pools 4.63 322 234 0
warm_pools 4.71 322 234 0
warm_pools 4.79 322 234 0
warm_pools 4.87 322 234 0
warm_pools 4.96 322 234 0
warm_pools 5.04 322 234 0
warm_pools 5.12 322 234 0
warm_pools 5.20 322 234 0
warm_pools 5.29 322 234 0
warm_pools 5.36 322 234 0
warm_pools 5.44 322 234 0
warm_pools 5.53 322 234 0
rendering 5.61 322 234 0
rendering 5.70 322 234 0
rendering 5.80 322 234 0
rendering 5.99 336 254 0
rendering 6.18 351 254 0
rendering 6.29 370 624 0
rendering 6.38 779 680 0
rendering 6.48 779 912 11
rendering 6.59 1095 1000 11
rendering 6.68 1099 1000 11
rendering 6.78 1099 1000 11
rendering 6.87 1099 1000 11
rendering 6.97 1099 1000 14
rendering 7.06 1095 816 14
resident_hold 7.15 720 622 14
resident_hold 7.24 720 622 14
resident_hold 7.32 720 622 14
resident_hold 7.41 720 622 0
resident_hold 7.50 720 622 0
resident_hold 7.58 720 622 0
resident_hold 7.67 720 622 0
resident_hold 7.76 720 622 0
resident_hold 7.83 720 622 0
resident_hold 7.92 720 622 0
resident_hold 8.00 720 622 0
resident_hold 8.10 720 622 0
resident_hold 8.18 720 622 0
resident_hold 8.26 720 622 0
resident_hold 8.34 720 622 0
resident_hold 8.42 720 622 0
resident_hold 8.50 720 622 0
resident_hold 8.58 720 622 0
resident_hold 8.65 720 622 0
resident_hold 8.74 720 622 0
resident_hold 8.82 720 622 0
resident_hold 8.90 720 622 0
resident_hold 8.99 720 622 0
resident_hold 9.08 720 622 0
resident_hold 9.17 720 622 0
resident_hold 9.26 720 622 0
resident_hold 9.34 720 622 0
resident_hold 9.42 720 622 0
resident_hold 9.50 720 622 0
resident_hold 9.57 720 622 0
resident_hold 9.65 720 622 0
resident_hold 9.73 720 622 0
resident_hold 9.82 720 622 0
resident_hold 9.91 720 622 0
resident_hold 9.98 720 622 0
resident_hold 10.08 720 622 0
resident_hold 10.16 720 622 0
resident_hold 10.24 720 622 0
resident_hold 10.32 720 622 0
resident_hold 10.40 720 622 0
resident_hold 10.48 720 622 0
resident_hold 10.56 720 622 0
resident_hold 10.64 720 622 0
resident_hold 10.72 720 622 0
resident_hold 10.80 720 622 0
resident_hold 10.87 720 622 0
resident_hold 10.97 720 622 0
resident_hold 11.07 720 622 0
resident_hold 11.15 720 622 0
resident_hold 11.24 720 622 0
resident_hold 11.32 720 622 0
resident_hold 11.41 720 622 0
resident_hold 11.49 720 622 0
resident_hold 11.57 720 622 0
resident_hold 11.64 720 622 0
resident_hold 11.73 720 622 0
resident_hold 11.81 720 622 0
resident_hold 11.89 720 622 0
